title,price,district,town,main category,sub category,Brand,Model year,Condition,Transmission,Model,Body type,Fuel type,Engine capacity,Mileage
Nissan X Trail 2016,"8,925,000",Kalutara,Panadura,Cars & Vehicles,Cars,Nissan,2016,Used,Automatic,X Trail,SUV / 4x4,Petrol,"2,000 ","79,484 "
Toyota Crown 2004,"2,350,000",Kegalle,Mawanella,Cars & Vehicles,Cars,Toyota,2004,Used,Automatic,Crown,Saloon,Diesel,"2,000 ","124,000 "
Suzuki Alto 2016,"2,390,000",Colombo,Nugegoda,Cars & Vehicles,Cars,Suzuki,2016,Reconditioned,Automatic,Alto,Hatchback,"Petrol, Other fuel type",660 ,"10,500 "
DFSK Glory 2016,"3,075,000",Colombo,Pannipitiya,Cars & Vehicles,Cars,Other brand,2016,Used,Manual,DFSK Glory,,Diesel,"1,300 ","28,000 "
Daihatsu Mira 2015,"2,460,000",Colombo,Nugegoda,Cars & Vehicles,Cars,Daihatsu,2015,New,Automatic,Mira,Hatchback,Petrol,660 ,3 
Suzuki spacia 2018,"3,390,000",Colombo,Dehiwala,Cars & Vehicles,Cars,Suzuki,2018,Reconditioned,Automatic,spacia,Hatchback,Petrol,660 ,"4,000 "
Honda DIo Bike 2018,"73,999",Gampaha,Ragama,Cars & Vehicles,Motorbikes & Scooters,Honda,2018,New,,DIo Bike,,,110 ,0 
"Alloy weel 15"" size","20,000",Matara,Akuressa,Cars & Vehicles,Auto Parts & Accessories,,,Used,,,,,,
Honda Insight Grey 2012,"3,875,000",Colombo,Battaramulla,Cars & Vehicles,Cars,Honda,2012,Used,Automatic,Insight Grey 2012,Hatchback,Petrol,"1,300 ","91,000 "
Nissan FB 15 Jb 2000,"2,325,000",Gampaha,Kiribathgoda,Cars & Vehicles,Cars,Nissan,2000,Used,Automatic,FB 15 2000 Jb,,Petrol,"1,500 ","147,000 "
Bajaj CT100⚫️🔴 2018,"39,000",Colombo,Colombo 9,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2018,New,,BAJAJ CT100⚫️🔴,,,100 ,0 
Piaggio Ape Threewheeler,"700,000",Hambantota,Beliatta,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Audi A1 2017,"5,650,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Audi,2017,Reconditioned,Tiptronic,A1,Hatchback,Petrol,"1,000 ","3,500 "
Suzuki spacia G 2015,"2,600,000",Colombo,Boralesgamuwa,Cars & Vehicles,Auto Services,,,,,,,,,
Nissan March K11 Bolero 1998,"1,550,000",Gampaha,Kandana,Cars & Vehicles,Cars,Nissan,1998,Used,Automatic,March K11 Bolero,Hatchback,Petrol,"1,300 ","139,500 "
Lorry for hire / green movers,"3,500",Kandy,Kandy,Cars & Vehicles,Auto Services,,,,,,,,,
